candidate_set,biological_mode,candidate_id,pdb_id,chain,source_uniprot,partner_uniprot,target_species,strict_contrast_gate_status,contrast_checkpoint_policy,cofolding_plan_status,breakage_interpretation_policy,claim_policy
tp53_mdm2_elephant,beneficial_breakage,tp53_mdm2_elephant_seed_tp53_chain,1ycr,B,P04637,Q00987,elephant,blocked_contrast_coverage,technical_checkpoint_no_claim,blocked_by_contrast_gate,do_not_auto_classify_breakage_as_incompatibility,technical_checkpoint_no_claim
tp53_mdm2_elephant,beneficial_breakage,tp53_mdm2_elephant_seed_mdm2_chain,1ycr,A,Q00987,P04637,elephant,blocked_contrast_coverage,technical_checkpoint_no_claim,blocked_by_contrast_gate,do_not_auto_classify_breakage_as_incompatibility,technical_checkpoint_no_claim
